name,tags,steps,description,ingredients,recipe_steps,standard_format,metric_conversion
little kick  jalapeno burgers,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'main-dish', 'poultry', 'easy', 'summer', 'turkey', 'seasonal', 'meat', 'equipment', 'grilling', '3-steps-or-less', 'burgers', 'turkey-burgers']","['in a large bowl , combine the first eight ingredients', 'crumble turkey over mixture and mix well', 'shape into 6 patties', 'coat grill rack with cooking spray before starting the grill', 'grill burgers , covered , over medium heat for 2-3 minutes on each side or until no longer pink', 'top with cheese', 'cover and grill 1-2 minutes longer or until cheese is melted', 'serve on rolls with salsa sour cream and lettuce']","this recipe was originally submitted to taste of home's healthy cooking magazine by dawn dhooghe of concord, north carolina.  ""i lightened up one of my husband's favorite burgers, although the original was good, we actually like this better.""","['jalapeno peppers', 'fresh cilantro', 'light beer', 'hot pepper sauce', 'garlic cloves', 'pepper', 'salt', 'cayenne pepper', 'lean ground turkey', 'monterey jack pepper cheese', 'dinner rolls', 'salsa', 'fat free sour cream', 'lettuce']",,"""1 jalapeno pepper, 1/4 cup fresh cilantro, 1 cup light beer, 1 tbsp hot pepper sauce, 3-4 garlic cloves, 1 pepper, 1 tsp salt, 1/2 tsp cayenne pepper, 1 lb lean ground turkey, 1 cup monterey jack pepper cheese, 1 dozen dinner rolls, 1 cup salsa, 1 cup fat free sour cream, 1 head lettuce""","""115g jalapeno pepper, 60g fresh cilantro, 240g light beer, 15g hot pepper sauce, 20-25g garlic cloves, 115g pepper, 5g salt, 2.5g cayenne pepper, 450g lean ground turkey, 450g monterey jack pepper cheese, 12g dinner rolls, 240g salsa, 240g fat free sour cream, 115g head lettuce"""
off the boat  sicilian pasta sauce,"['course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'pasta', 'easy', 'european', 'beginner-cook', 'italian', 'inexpensive', 'pasta-rice-and-grains']","['chop your 1 / 2 medium onion', 'take a medium size pot and simmer together your chopped onions and oil over medium heat until onions are tender', 'pour in your tomato sauce and stir well', 'let your sauce come to a boil for at least a half an hour', 'reduce heat to medium-low', 'stir in your desired amount of salt and pepper', 'cook for an additional half an hour', 'after at least an hour of cooking , bring a pot of water to a boil for your pasta', 'let the sauce cook until pasta is drained and ready', 'scoop some sauce into your drained pasta to coat', 'serve with a scoop of pasta sauce ontop and enjoy !', 'you can add anything to this base pasta sauce -- we italians sometimes will throw in cooked tender cauliflower for one dish or asparagas , or drained / fried ground beef for pasta bolognese , etc', 'you get the idea']","this recipe has been in my family since it was first made in a small town north of palermo, sicily. i am exposing this family recipe because i know it will help some people be able to continue their love for pasta and still be able to stay on their diet.","['fresh onion', 'olive oil', 'tomato sauce', 'salt', 'pepper']",,"""1 onion, 1 tbsp olive oil, 1 cup tomato sauce, 1/2 tsp salt, 1/4 tsp pepper""","""115g onion, 15g olive oil, 240g tomato sauce, 2.5g salt, 1.25g pepper"""
magic  cookie bars,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'desserts', 'easy']","['preheat oven to 350 degrees f', 'beat butter , condensed milk and egg until well blended', 'add cookie crumbs to mixture , blending well', 'pour mixture into 13x9 inch square baking pan', 'spread crumb mixture into pan without pressing down', 'once crumb mixture is evenly spread , sprinkle chocolate chips all over', 'press down with fork', 'bake 25 to 30 minutes or until lightly brown', 'cool , cut into slices , and enjoy !']",to die for !!,"['butter', 'cookie crumbs', 'nestle sweetened condensed milk', 'semi-sweet chocolate chips', 'egg']",,"""1/2 cup butter, 1 cup cookie crumbs, 1/2 cup nestle sweetened condensed milk, 1 cup semi-sweet chocolate chips, 1 egg""","""120g butter, 120g cookie crumbs, 120g nestle sweetened condensed milk, 240g semi-sweet chocolate chips, 50g egg"""
no fuss  easy baked artichokes,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-1-or-2', 'appetizers', 'side-dishes', 'vegetables', 'easy', 'beginner-cook', 'dinner-party', 'vegan', 'vegetarian', 'dietary', 'gluten-free', 'free-of-something', 'number-of-servings', '4-hours-or-less', 'artichoke', 'from-scratch']","[""rinse and trim the artichoke , cutting the stem off straight so that the artichoke can stand up on it's own without"", 'spread artichoke petals open as far as possible without snapping', 'between the petals: squeeze lemon juice , drizzle olive oil and broth and stuff garlic', 'sprinkle the top of the artichoke with sea salt', 'tightly double wrap and seal the artichoke with heavy-duty aluminum foil', ""place artichoke , making sure that it is standing up straight so the liquid doesn't come out in a pre-heated 425 oven and bake"", 'remove from oven and remove wrapping']",this recipe comes from an ocean mist farms card that my mom saved for years without trying before i discovered it. enjoy as it is or scoop out the fuzzy choke center to use the baked artichoke as an edible bowl filled with stew or dip.,"['artichoke', 'garlic cloves', 'lemon', 'olive oil', 'sea salt', 'broth']",,"""1 artichoke, 3 garlic cloves, 1 lemon, 1/4 cup olive oil, 1/2 tsp sea salt, 1 cup broth""","""240g artichoke, 45g garlic, 140g lemon, 60g olive oil, 2.5g sea salt, 240g broth"""
just peachy  cobbler,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'low-protein', 'cobblers-and-crisps', 'desserts', 'fruit', 'dietary', 'comfort-food', 'low-in-something', 'taste-mood', 'sweet', '4-hours-or-less']","['preheat oven to 350f', 'melt the butter in a 9x13 pan', 'sift together the flour , baking powder , salt and sugar', 'whisk eggs and milk together', 'add to dry ingredients and mix by hand till blended', 'pour batter evenly over melted butter', 'mix sugar and cinnamon together and combine with the peaches', 'spoon peaches evenly over the batter , but do not stir it', 'bake 60 - 65 minutes , or until light golden brown', 'best served warm with whipped cream or vanilla ice cream !']","all i can say is yummmmmm . . . a simple to make peach cobbler! *cook's note: a 28oz can of peaches, drained, or 4 to 5 large fresh peaches skinned and sliced can be substituted for the frozen peaches. i use only real butter and real vanilla!","['butter', 'flour', 'sugar', 'baking powder', 'salt', 'milk', 'eggs', 'vanilla', 'frozen peaches', 'cinnamon']",,"""1 cup butter, 2 cups flour, 1 cup sugar, 2 tsp baking powder, 1 tsp salt, 1 cup milk, 2 eggs, 1 tsp vanilla, 1 cup frozen peaches, 1 tsp cinnamon""","""240g butter, 400g flour, 200g sugar, 10g baking powder, 5g salt, 240g milk, 50g eggs, 5g vanilla, 240g frozen peaches, 5g cinnamon"""
thetis queen  albacore tuna tacones with spicy spot p,"['weeknight', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'appetizers', 'lunch', 'seafood', 'barbecue', 'finger-food', 'fish', 'stove-top', 'tuna', 'saltwater-fish', 'brunch', 'to-go', 'equipment', 'grilling', 'presentation']","['lightly oil one side of each tortilla', 'thinly shred cabbage and mix with pumpkin seeds , spicy spot prawn mayo and one quarter of the spice mix', 'oil the tuna loin and season with remaining spice mix', 'in large very hot pan or very hot bbq , sear tuna on all sides for 30 seconds per side and place on cutting board for slicing', 'in large very hot pan or very hot bbq , lightly grill tortillas', 'line grilled tortillas up evenly and slice in half', 'position semi circles of tortilla with straight side on a forty five degree angle', 'slice tuna loin in one quarter inch slices and place three slices on the middle of each tortilla', 'add one quarter cup of cabbage mixture , 3 or 4 pea shoots and one heaping table spoon of onions on top of tuna slices', 'take the bottom corner of tortilla to the top and pull back over mix leaving you with a cone shaped taco or tacone', '- serve with spicy spot prawn mayo , recipe #387362 contains prawns , oil , hot sauce , mirin , lime juice , sea salt , and mayonnaise']","tacones are a taco-cone or a tortilla handroll.  i am newly addicted to this meal!  the recipe comes from a victoria restaurant.  it is wonderful!
 http://www.redfish-bluefish.com/","['flour tortillas', 'tuna', 'head of cabbage', 'pumpkin seeds', 'red onions', 'pea shoots', 'sea salt', 'cracked black pepper', 'coriander powder', 'ground cumin', 'olive oil', 'mayonnaise']",,"""1 head of cabbage, 1 cup flour tortillas, 1 can tuna, 1/4 cup pumpkin seeds, 1 red onion, 1 cup pea shoots, 2 tbsp olive oil, 2 tbsp mayonnaise, 1 tsp sea salt, 1/2 tsp cracked black pepper, 1/2 tsp coriander powder, 1/4 tsp ground cumin""","""240g cabbage, 240g flour tortillas, 120g tuna, 60g pumpkin seeds, 120g red onion, 240g pea shoots, 30g olive oil, 30g mayonnaise, 5g sea salt, 2.5g cracked black pepper, 2.5g coriander powder, 1.25g ground cumin"""
wolf creek inn  macaroni   cheese,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'casseroles', 'main-dish', 'eggs-dairy', 'pasta', 'american', 'southwestern-united-states', 'oven', 'potluck', 'kid-friendly', 'cheese', 'dietary', 'comfort-food', 'egg-free', 'free-of-something', 'toddler-friendly', 'pasta-rice-and-grains', 'elbow-macaroni', 'taste-mood', 'savory', 'to-go', 'equipment', 'number-of-servings', 'presentation', 'served-hot', '4-hours-or-less']","['cook macaroni in boiling water , per pkg', 'directions) drain & set aside', 'melt butter in large skillet , add the flour a little at a time & cook over med', 'low heat for about 2 minutes stirring constantly', 'stir in the milk a little at a time & cook till it gets bubbly & smooth & slightly thick', 'stir in the salt , pepper & mustard', 'remove from the heat & add the tabasco sauce & cheese', 'stir till smooth', 'mix very well with the macaroni', 'transfer to a 9x13 litely buttered casserole dish , top with the bread crumbs', 'bake @ 350 deg', '30-40 mins or till bubbly']","this comes from a very highly rated restaurant in my area, high in chesse content but so good.","['elbow macaroni', 'butter', 'flour', 'salt', 'white pepper', 'dry mustard', 'milk', 'tabasco sauce', 'cheddar cheese', 'dry breadcrumbs']",,"""1 cup elbow macaroni, 2 tbsp butter, 2 cups flour, 1 tsp salt, 1/2 tsp white pepper, 1/2 tsp dry mustard, 1 cup milk, 1 tsp tabasco sauce, 1 cup cheddar cheese, 1/2 cup dry breadcrumbs""","""240g elbow macaroni, 30g butter, 240g flour, 6g salt, 2.5g white pepper, 2.5g dry mustard, 240g milk, 6g tabasco sauce, 240g cheddar cheese, 120g dry breadcrumbs"""
oh i love this   cheesecake,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'desserts', 'eggs-dairy', 'cheesecake', 'cheese', 'dietary', '4-hours-or-less']","['preheat oven to 325 dg', 'place jellyroll pan or cookie sheet with sides half filled with hot water on rack underneath center rack in oven', 'grease or spray bottom and sides of a 10"" springform pan with butter or non-stick vegetable spray', 'make crust by putting graham cracker crumbs and sugar in a small bowl and mixing in melted butter until crumbly', 'press mixture into bottom and partially up the sides of a greased 10"" springform pan', 'bake on center rack in oven at 325 dg', 'for 10 minutes', 'set aside to cool', 'mix together cheeses , sugar , beaten eggs , lemon juice and vanilla', 'add cornstarch , flour and melted stick of butter', 'mix until smooth', 'blend in sour cream and mix well', 'pour over prepared crust', 'bake at 325 dg', 'for 1 hour on center rack of oven , centered over water bath underneath', 'after 1 hr', ', turn off oven and keep cheesecake in oven for 2 hours -- do not open oven door during resting period !', 'remove from oven and refrigerate , do not worry if cheesecake is a little ""jiggly"" when removing from oven , because it will firm up during chilling process', 'when chilled , remove from pan just prior to serving', 'enjoy !']","the title of this recipe says it all.  it's a heavy, very rich cheesecake that feeds quite a few people, since the slices can be on the thinner side due to it's richness.  remember, don't open up the oven door until you're supposed to!!!!  (note: times given do not include chilling time, which should be about 3 hours.)","['graham cracker crumbs', 'butter', 'sugar', 'small curd cottage cheese', 'cream cheese', 'eggs', 'lemon juice', 'vanilla', 'cornstarch', 'flour', 'sour cream']",,"""1 cup graham cracker crumbs, 1/2 cup butter, 1 cup sugar, 8 oz small curd cottage cheese, 8 oz cream cheese, 4 eggs, 2 tbsp lemon juice, 1 tsp vanilla, 2 tbsp cornstarch, 2 cups flour, 1 cup sour cream""","""240g graham cracker crumbs, 120g butter, 200g sugar, 225g small curd cottage cheese, 225g cream cheese, 115g eggs, 30g lemon juice, 5g vanilla, 30g cornstarch, 400g flour, 225g sour cream"""
soft serve  vanilla ice cream,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'low-protein', 'healthy', '5-ingredients-or-less', 'desserts', 'easy', 'frozen-desserts', 'dietary', 'low-in-something', 'equipment', 'small-appliance']","['place milk in electric mixing bowl', 'make pudding according to directions on box', 'add pudding & sugar to mixer , blend well', 'add cool whip and vanilla to mixer , blend well', 'pour mixture into 1 gallon ice cream maker']","very similar to soft serve ice cream found at restaurants, fast food places and various stores.

you may need to change the amounts based on the size of your ice cream maker/turner!","['milk', 'vanilla instant pudding mix', 'sugar', 'cool whip', 'vanilla flavoring']",,"""1 cup milk, 1 package vanilla instant pudding mix, 2 cups sugar, 1 cup cool whip, 1 tsp vanilla flavoring""","""240g milk, 1 package vanilla instant pudding mix, 400g sugar, 240g cool whip, 5g vanilla flavoring"""
u  wing it pork loin chops,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'very-low-carbs', 'main-dish', 'pork', 'oven', 'easy', 'dinner-party', 'dietary', 'comfort-food', 'low-carb', 'low-in-something', 'meat', 'pork-chops', 'taste-mood', 'equipment', '4-hours-or-less']","['brown chops in oil in a frying pan', 'remove to casserole dish', 'saute onion and garlic over high heat for 2 minutes', 'add sour cream , horseradish , mustard , dressing and wine', 'heat for 3 minutes', 'pour over chops', 'bake in preheated 350f oven for 1 hour or until done']","as the name indicates, fix a sauce from ingredients in your fridge. you can make a luscious gravy from your fridge. prepare ahead of time and cook when needed. a 1 inch chop is like a ""mini"" roast you can carve when cooked. served with asparagus and a baked potato and dinner is done.","['pork loin chops', 'olive oil', 'onion', 'garlic cloves', 'sour cream', 'horseradish', 'grainy mustard', 'ranch dressing', 'dry red wine']",,"""1 cup pork loin chops, 1/4 cup olive oil, 1 medium onion, 3 cloves garlic, 1/2 cup sour cream, 2 tbsp horseradish, 2 tbsp grainy mustard, 2 tbsp ranch dressing, 1/4 cup dry red wine""","""240g pork loin chops, 120g olive oil, 120g onion, 7g garlic, 120g sour cream, 30g horseradish, 30g grainy mustard, 30g ranch dressing, 60g dry red wine"""
